"SAM","AgFFF","Coal","OilGas","MetMin","NMetMin","FoodPr","Textile","Apparel","WoodPr","PaperPr","RefPet","Chemical","NMetPr","Metals","MetalPr","GenEqp","SpecEqp","TransEqp","ElecEqp","ICTEqp","PrecInst","OthMfg","Waste","MachRep","T_D","Coal_Power","Oil_Power","Gas_Power","Nuclear","Hydro","Wind","Solar","Biomass","GasDist","WatDist","Constr","WhRetTr","TranspSrv","HotRest","ICTServ","Finance","RealEst","BusServe","ResTech","EnvServ","ResServ","Education","Health","RecEnt","PubAdm","LabSk","LabUn","Capital","prodtax","Depr","HHRural","HHUrban","Govt","Capacct","Invent","ROW","ENTERPRISE","Total","Land","Natr"
"LabUn",5110.997519877,529.597870663,81.594233584,174.127622717,106.257413215,517.711066525,485.892705107,140.546870121,173.933178598,285.176704340,43.684827360,592.273068258,413.054860158,479.117384299,249.312993894,322.530692420,229.339026882,427.359501861,258.977368039,416.979385477,41.379979890,23.791983578,14.642072356,11.326946376,86.542602632,33.999543586,3.169440770,1.208626305,15.636938549,28.594229651,17.679821233,0.439961408,9.492913989,11.954348706,24.423557165,2000.554348553,1193.207556102,880.116225677,569.091635314,115.850796788,286.956127272,237.145156704,263.746899255,120.868789019,93.739860225,497.442344439,267.835020936,239.375228856,105.995784096,553.433915767,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
"Capital",5645.385546128,9788.282018111,9306.280390881,4776.407665621,2152.498258364,20111.373941914,9277.355691043,2516.808105274,3975.581590260,6339.040098859,2770.206881894,28378.136829732,11474.287043314,26183.707461848,6278.474728511,8001.113980476,6290.775487641,12021.136426149,9336.507225605,9950.455695359,1303.390870923,481.120906140,7635.273046020,83.330935984,3941.466841608,5458.754490897,145.759354068,110.524465687,649.318421169,4325.031366615,1923.621380167,143.756408846,555.490214375,1034.402765991,762.518730298,23053.977490719,46812.352577011,27908.541251923,5742.999645907,19059.066316230,50580.927871762,54709.000976448,11397.812247207,9007.118803609,2552.194584978,4879.912929508,5523.225457346,3380.364544043,3395.770486416,6518.788989662,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
"prodtax",0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
"Depr",0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
"HHRural",0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3812.651221683,9394.053474296,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,904.457000000,0.000000000,0.000000000,0.000000000,1044.170000000,0.000000000,0.000000000,0.000000000
"HHUrban",0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3812.651221683,9394.053474296,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2299.710000000,0.000000000,0.000000000,0.000000000,3539.920000000,0.000000000,0.000000000,0.000000000
"Govt",0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,678.343000000,3832.850000000,0.000000000,0.000000000,0.000000000,0.000000000,1592.326818208,0.000000000,0.000000000,0.000000000
"Capacct",0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1860.000000000,4772.620000000,3246.431564997,0.000000000,0.000000000,7041.436438514,8241.733197466,0.000000000,0.000000000,0.000000000
"Invent",0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
"ROW",513.090811237,179.890644581,1425.608194796,839.578634975,39.291822391,343.337783866,150.169375567,60.469764955,51.060142985,147.146382501,287.440085823,1223.096147443,69.866879204,893.361338249,80.603596595,509.586797515,386.175505306,605.188882277,397.600750081,2399.801822528,290.140978874,3.522298254,229.527071493,0.000000000,2.206792272,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,22.789592475,0.000000000,326.979560363,115.960010232,73.826702011,44.224969710,0.000000000,279.624138536,22.277249408,21.902222242,13.783529257,13.155230483,8.752873190,124.795327890,6.580206529,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2636.820646634,417.245737996,0.000000000,0.000000000,0.000000000,1500.465109475,5487.835161867,0.000000000,0.000000000,0.000000000
